160,1.1913548,1.0597934,7.9330673
360,1.0143754,0.7166325,5.852291
560,0.74254733,0.63938594,5.2133455
760,0.35749078,0.4674555,4.38807
960,0.34153807,0.40844083,3.2643328
1160,0.25790763,0.3736791,2.3615112
1360,0.3298669,0.33820808,1.8863358
1560,0.013938904,0.14415264,1.8212729
1760,-0.02045238,0.16895223,1.2788906
1960,0.103348255,0.13133109,1.0422659
2160,0.050117373,0.11464167,0.8481779
2360,0.09468174,0.15970874,0.6651354
2560,0.1638521,0.09329045,0.4803934
2760,0.17130423,0.09570134,0.5021095
2960,0.22227693,0.12731814,0.28963947
3160,-2.2604337,0.9857937,1.195138
3350,3.5058231,-1.2981513,-1.311677
3560,-0.24172354,0.917063,0.45325947
3750,-0.08133018,0.5296644,-0.016633987
3950,-0.34374917,0.54344153,0.35635757
4150,-0.08154786,0.41847265,0.245821
4350,-0.3420081,0.58760583,-0.13565826
4550,0.29334044,0.1971457,-0.8928671
4750,-0.08040464,0.2908342,-0.046790123
4950,-0.24532521,0.16562963,0.1809187
5150,-0.31309718,0.27615595,0.25774193
5350,-0.13747144,0.093553066,-0.09834862
5550,-0.14828432,0.1284728,0.015173912
5750,-0.044885993,0.02999425,0.104076385
5950,0.0703938,0.0757103,0.21542168
6150,8.56435,-4.920329,1.3225117
6350,-4.448194,1.2524507,-0.7577534
6550,-1.0187862,0.68209517,-0.25377655
6750,-0.7173455,0.5025805,-0.15992546
6940,-0.5461036,0.334069,0.21969795
7140,-0.39666033,0.25672066,0.022529602
7340,-0.30487835,0.28294873,-0.028903008
7540,-0.002567172,0.25700474,-0.3065958
7740,0.37144172,-0.2196064,0.14066792
7940,0.118067145,-0.028202415,-0.024414063
8140,-0.005145192,0.038729668,0.071448326
8340,-0.20714438,0.043433547,0.31190205
8550,0.122546315,-0.0073912144,0.21025658
